code accident,date,heure,département,commune,massif,region,massif_unique,site,"coordonnées
 zone départ",altitude,inclinaison,orientation,groupe,emportés,"ensevelis 
 tête",décédés,blessées,indemnes,activité,activite_regrouped,évolution,BRA,"qualité 
 neige","cohésion
 neige","type 
 départ",cause départ,"dénivelé
 (mètres)","largeur 
 cassure
 (mètres)","épaisseur
 cassure max. 
 (cm)"
1011-05-09,2011-03-19,15:30,5,molines,queyras,alps,Queyras,rif ousselat,32t 0333526 4953556,2540,40-44,N,2,1,1,1,0,0,hors-piste,"off-piste (ski, snowboard)",,3,sèche,tendre,linéaire,accidentelle soi-même,450,800,70
1415-73-04,2015-01-05,13:05,73,sainte foy tarentaise,haute tarentaise,alps,Hte-tarent,face nord fogliettaz,"45°34'55.9"" / 6°56'17.66""",2820,40-44,N,6,5,0,0,0,3,randonnée,hiking,,3,sèche,tendre,linéaire,accidentelle soi-même,330,800,100
1718-73-12,2018-02-18,12:35,73,val d'isere,haute tarentaise,alps,Hte-tarent,piste rouge combe du géant / pisaillas,"45°25'48"" / 7°02'47""",3050,>45,S,7,3,2,2,0,0,hors-piste,"off-piste (ski, snowboard)",,3,humide,tendre,linéaire,naturelle,200,500,80
1011-05-08,2011-03-19,12:05,5,ceillac,queyras,alps,Queyras,vallon beaubarnon,32t 0328612 4945259,2530,30-34,N,4,4,3,3,0,1,randonnée,hiking,,3,sèche,tendre,linéaire,accidentelle soi-même,150,500,60
1718-73-06,2018-01-03,16:00,73,bonneval sur arc,haute tarentaise,alps,Hte-tarent,lécharenne pont de la lama,"45°23'6"" / 7°4'24""",2500,35-39,SE,1,1,1,1,0,0,habitation,other,,4,sèche,,linéaire,naturelle,600,450,
1617-05-12,2017-03-12,14:50,5,cervières,queyras,alps,Queyras,face N arpelin,"44°49'38"" / 6°44'20""",2500,35-39,N,13,1,0,0,0,0,randonnée,hiking,,2,humide,tendre,linéaire,accidentelle soi-même,200,450,
1617-38-01,2016-12-20,20:00,38,saint christophe en oisans,oisans,alps,Oisans,refuge pilatte,"44°52'14.33"" / 6°19'52.73""",2560,>45,NE,3,3,0,0,0,0,randonnée,hiking,montée,2,sèche,tendre,linéaire,accidentelle soi-même,160,450,
1213-73-24,2013-04-14,,73,aussois,vanoise,alps,Vanoise,chaise aux papes / dent parrachée,6°45'13.8'' / 45°17'18.2'',3600,30-34,SE,,6,6,6,0,0,randonnée,hiking,montée,3,sèche,dure,linéaire,accidentelle tiers,400,400,
1112-04-01,2012-02-16,14:45,4,saint paul s/ ubaye,ubaye,alps,Ubaye,col girardin crête observatoire,"44°36'27.4"" 6°49'42.9""",2800,30-34,SO,4,1,0,0,0,0,randonnée,hiking,montée,3,sèche,dure,linéaire,accidentelle soi-même,300,400,40
1415-73-03,2014-12-30,15:00,73,les allues,vanoise,alps,Vanoise,lac de la chambre,"45°19'02.85"" // 6°35'25.17""",2720,40-44,NO,2,1,1,1,0,0,hors-piste,"off-piste (ski, snowboard)",descente,3,sèche,tendre,linéaire,accidentelle soi-même,170,400,40
1213-73-25,2013-05-02,10:25,73,pralognan,vanoise,alps,Vanoise,grands couloirs grande casse,45°24'16''/6°49'01.2'' /// 45°24'05.8''/6°49'02.6'',3530,>45,O,4,3,1,1,0,2,alpinisme,alpinisme,montée,,humide,dure,linéaire,accidentelle soi-même,500,350,50
1011-74-11,2011-03-20,12:05,74,magland,aravis,alps,Aravis,face nord pointe d'Areu,32t 0312804 5094955,2430,35-39,NO,3,1,1,1,0,0,randonnée,hiking,descente,3,sèche,tendre,linéaire,accidentelle soi-même,500,350,40
1011-09-01,2011-02-18,,9,ustou,couserans,pyrenees,couseran,etang de la lacarde,"42°44'30.5"" 1°16'22.4""",2000,30-34,N,2,1,1,0,0,1,randonnée,hiking,descente,3,sèche,tendre,linéaire,accidentelle soi-même,80,350,40
1415-74-01,2014-12-24,,74,les contamines montjoie,mont blanc,alps,Mont-Blanc,glacier armancette,"45°48'24.2""/6°47'01.4""",3400,35-39,O,2,2,0,0,0,2,randonnée,hiking,descente,2,sèche,dure,linéaire,accidentelle soi-même,1800,300,30
1617-05-10,2017-03-07,10:05,5,abriès,queyras,alps,Queyras,crête de gilly / grande combe,"44°47'57.8 / 6°57'28.6""",2430,40-44,N,2,1,1,1,0,0,hors-piste,"off-piste (ski, snowboard)",descente,4,sèche,tendre,linéaire,accidentelle soi-même,450,300,150
1213-05-02,2012-12-16,12:25,5,risoul,embrunais parpaillon,alps,Parpaillon,crete de razis,44.597714 / 6.648739,2520,30-34,NO,1,1,1,1,0,0,hors-piste,"off-piste (ski, snowboard)",,4,sèche,tendre,linéaire,accidentelle soi-même,140,300,190
1718-05-07,2018-03-04,14:15,5,pelvoux,pelvoux,alps,Pelvoux,la blanche / les essanyères,"44°51'18"" / 6°27'49""",1990,35-39,SE,2,1,0,0,0,0,randonnée,hiking,,,,,linéaire,accidentelle soi-même,,300,40
1314-68-01,2014-01-26,,68,stosswihr,vosges,other,other,grand couloir dagobert,"7°00'476"" / 48°02'271""",1300,>45,N,2,2,0,0,0,0,alpinisme,alpinisme,,,sèche,,linéaire,accidentelle soi-même,260,260,
1415-73-21,2015-01-23,12:50,73,valloire,thabor,alps,Thabor,pointe des cerces face nord,"45°4'4.2"" //6°29'2.95""",2980,35-39,NE,2,1,1,1,0,0,randonnée,hiking,montée,3,sèche,dure,linéaire,accidentelle soi-même,530,250,100
1415-73-12,2015-02-02,16:55,73,la bathie,beaufortain,alps,Beaufortin,pionte de la grande combe,"45°39'3.83"" // 6°31'23.53""",2150,30-34,NO,2,1,0,0,0,1,hors-piste,"off-piste (ski, snowboard)",descente,3,sèche,tendre,linéaire,accidentelle soi-même,300,250,100
1415-05-12,2015-09-15,11:45,5,pelvoux,pelvoux,alps,Pelvoux,dome de neige des Ecrins,"44°55'23.2"" / 6°21'30.7""",3965,40-44,N,8,8,5,1,4,0,alpinisme,alpinisme,traversée,,humide,dure,linéaire,accidentelle soi-même,220,250,200
1516-73-08,2016-01-18,13:05,73,modane,haute maurienne,alps,Hte-maurie,col du petit argentier,"45°8'8.47"" / 6°38'53.22""",2600,>45,E,52,18,11,8,3,7,randonnée,hiking,,3,sèche,,linéaire,accidentelle soi-même,260,220,180
1718-65-05,2018-02-14,14:45,65,cauterets,haute bigorre,pyrenees,hte-bigo,piste asphodele / pic de Monné,"42°53'30' / 0°10'14""",2600,>45,SE,3,3,3,3,0,0,hors-piste,"off-piste (ski, snowboard)",descente,3,humide,dure,linéaire,naturelle,800,200,
1415-05-04,2015-01-24,11:40,5,ceillac,queyras,alps,Queyras,combe du bachas,"44°38'16.8"" / 6°45'59.7""",2770,35-39,NE,6,6,6,6,0,0,randonnée,hiking,descente,3,sèche,dure,linéaire,accidentelle soi-même,450,200,80
1415-05-10,2015-04-01,14:45,5,pelvoux,pelvoux,alps,Pelvoux,col emile pic,"44°57'16.8"" / 6°23'12.3""",3420,>45,SE,14,12,6,4,2,2,randonnée,hiking,arrêt,,sèche,dure,linéaire,accidentelle soi-même,360,200,350
1314-73-26,2014-05-04,11:00,73,bessans,haute maurienne,alps,Hte-maurie,selle de l'albaron,"45°19'44.24""/7°06'24.85""",3430,40-44,SO,3,1,1,1,0,0,randonnée,hiking,,,sèche,tendre,linéaire,accidentelle soi-même,310,200,100
1213-73-03,2012-12-21,12:05,73,val isere,haute tarentaise,alps,Hte-tarent,pointe du grand vallon creux de l'ouille,,2755,30-34,N,3,3,1,1,0,0,hors-piste,"off-piste (ski, snowboard)",,3,sèche,tendre,linéaire,accidentelle soi-même,300,200,300
1011-73-11,2011-03-05,14:30,73,bessans,haute maurienne,alps,Hte-maurie,andagne,,3000,,NO,3,2,1,0,1,1,hors-piste,"off-piste (ski, snowboard)",,4,sèche,tendre,linéaire,accidentelle soi-même,300,200,180
1213-05-16,2013-04-13,13:00,5,orcieres,champsaur,alps,Champsaur,mourre froid,44°38'39'' / 6°23'38'',2750,30-34,N,2,2,1,1,0,1,randonnée,hiking,,3,sèche,dure,linéaire,accidentelle soi-même,250,200,40
1718-38-18,2018-03-13,09:20,38,alpe d'huez,grandes rousses,alps,Gdes-rouss,combe 3000 pic blanc,"45°7'29"" / 6°7'39""",3300,35-39,S,2,2,0,0,0,2,minage,other,,,sèche,dure,linéaire,accidentelle soi-même,200,200,40
1415-38-01,2015-01-28,12:20,38,villards de lans,vercors,alps,Vercors,combe chaulange,45°04.126 / 05°36.163,1870,35-39,SO,18,3,1,1,0,2,randonnée,hiking,montée,2,sèche,dure,linéaire,accidentelle soi-même,170,200,250
1617-73-11,2017-02-16,11:00,73,lanslevillard,haute maurienne,alps,Hte-maurie,secteur pas de l'arcelle,"45°16'45.38"" / 6°57'09.31""",2450,35-39,NE,9,5,0,0,0,5,randonnée,hiking,,3,sèche,dure,linéaire,accidentelle soi-même,160,200,70
1415-73-18,2015-03-31,12:28,73,tignes,haute tarentaise,alps,Hte-tarent,couloir chardonnet,,2550,30-34,NE,2,1,1,1,0,0,hors-piste,"off-piste (ski, snowboard)",,4,humide,dure,linéaire,accidentelle soi-même,150,200,80
1011-73-20,2011-05-16,09:35,73,orelle,vanoise,alps,Vanoise,col de gebroulaz,,3434,30-34,E,1,1,0,0,0,1,randonnée,hiking,montée,,sèche,dure,linéaire,accidentelle soi-même,150,200,
1617-73-06,2017-01-20,14:30,73,sainte foy tarentaise,haute-tarentaise,alps,Hte-tarent,col de l'argentiere archeboc,"45°35'52.77"" / 6°57'33.75""",2150,35-39,NO,3,1,1,1,0,0,randonnée,hiking,,2,sèche,dure,linéaire,accidentelle soi-même,130,200,50
1718-05-04,2018-02-18,12:00,5,orcières,champsaur,alps,Champsaur,pic de barle,"44°38'4"" / 6°19'22""",2610,35-39,NO,1,1,1,0,1,0,randonnée,hiking,montée,,sèche,tendre,linéaire,accidentelle soi-même,120,200,
1516-73-10,2016-01-21,,73,champagny en vanoise,vanoise,alps,Vanoise,combe des arriérés,,,,,3,3,0,0,0,0,hors-piste,"off-piste (ski, snowboard)",descente,,sèche,tendre,linéaire,accidentelle soi-même,,200,
1718-74-04,2018-03-04,11:15,74,samoens,chablais,alps,Chablais,bostan,,,,NO,2,2,2,2,0,0,randonnée,hiking,traversée,3,sèche,,linéaire,accidentelle soi-même,,200,
1112-73-06,2012-04-17,19:00,73,saint martin de belleville,vanoise,alps,Vanoise,mont du borgne,32T 0312336 5019279,2950,40-44,NO,3,1,1,1,0,0,randonnée,hiking,descente,3,sèche,tendre,linéaire,accidentelle soi-même,200,180,100
1516-73-09,2016-01-20,12:25,73,les allues,vanoise,alps,Vanoise,crête roc des trois/mont de la chambre versant est,"45°19'58"" / 6°34'21""",2650,>45,E,2,1,1,1,0,0,hors-piste,"off-piste (ski, snowboard)",descente,3,sèche,,linéaire,accidentelle soi-même,130,180,200
1314-73-18,2014-02-12,14:50,73,la léchère,beaufortin,alps,Beaufortin,pointe du dzonfié,45°34.960 / 6°34.326,2340,30-34,SO,2,1,1,1,0,0,randonnée,hiking,descente,3,sèche,dure,linéaire,accidentelle soi-même,170,160,120
1213-74-05,2013-02-08,10:55,74,chamonix,mont blanc,alps,Mont-Blanc,brévent nant pcheu,N45°55'48.2 // E06°50'14.0,2280,35-39,SE,1,1,1,1,0,0,hors-piste,"off-piste (ski, snowboard)",,2,sèche,dure,linéaire,accidentelle soi-même,1000,150,80
1011-73-01,2010-11-01,09:00,73,Bessans,Haute Maurienne,alps,Hte-maurie,couloir Roche MIchel,,3100,35-39,N,3,3,3,3,0,0,alpinisme,alpinisme,,,sèche,tendre,linéaire,accidentelle soi-même,700,150,50
1213-04-01,2013-03-19,15:30,4,montclar,ubaye,alps,Ubaye,face ouest dormillouse,"44°24'23.6"" / 6°22'56.9""",2340,35-39,O,3,1,1,1,0,0,hors-piste,"off-piste (ski, snowboard)",descente,4,humide,tendre,linéaire,accidentelle soi-même,450,150,
