date,hour,massif,region,massif_unique,altitude,inclination,orientation,size_of_group,transported,with head buried in snow,dead,injured,unharmed,activite_regrouped,only_hour,year,month
2010-12-04,13:05,aravis,alps,Aravis,2350,,NO,3,3,1,0,3,0,hiking,13,2010,12
2010-12-26,10:55,aravis,alps,Aravis,1950,30-34,S,3,1,1,0,1,0,hiking,10,2010,12
2011-03-20,12:05,aravis,alps,Aravis,2430,35-39,NO,3,1,1,1,0,0,hiking,12,2011,3
2010-11-28,14:00,sancy,other,other,1725,40-44,NO,2,1,0,0,1,0,hiking,14,2010,11
2012-12-06,12:45,aravis,alps,Aravis,1710,40-44,O,2,2,1,1,0,1,hiking,12,2012,12
2013-12-27,10:45,aravis,alps,Aravis,2375,30-34,NO,3,2,2,2,0,0,"off-piste (ski, snowboard)",10,2013,12
2014-02-12,15:50,aravis,alps,Aravis,1975,40-44,SE,3,2,0,0,0,1,"off-piste (ski, snowboard)",15,2014,2
2014-03-02,10:30,aravis,alps,Aravis,0,,,2,2,0,0,0,0,hiking,10,2014,3
2014-04-13,11:10,aravis,alps,Aravis,0,,,8,8,0,0,0,2,hiking,11,2014,4
2015-02-08,11:55,aravis,alps,Aravis,1930,30-34,O,2,1,0,0,0,1,hiking,11,2015,2
2015-02-09,16:00,aravis,alps,Aravis,0,,,4,4,0,0,0,0,"off-piste (ski, snowboard)",16,2015,2
2010-12-17,12:40,hohneck,other,other,1300,30-34,E,2,1,0,0,1,0,hiking,12,2010,12
2015-04-06,13:00,aravis,alps,Aravis,0,,,3,3,1,1,0,1,hiking,13,2015,4
2016-01-30,09:57,aravis,alps,Aravis,2500,40-44,NO,2,1,1,1,0,0,hiking,9,2016,1
2016-02-27,11:10,aravis,alps,Aravis,1980,35-39,NO,3,1,1,1,0,0,hiking,11,2016,2
2016-03-09,,aravis,alps,Aravis,0,,,3,2,1,1,0,0,hiking,0,2016,3
2017-02-12,13:15,aravis,alps,Aravis,1970,35-39,N,4,2,1,1,0,0,hiking,13,2017,2
2018-03-03,14:05,aravis,alps,Aravis,1800,40-44,SE,6,6,0,0,0,6,hiking,14,2018,3
2018-03-05,,aravis,alps,Aravis,0,,,2,2,0,0,0,0,hiking,0,2018,3
2018-12-13,,aravis,alps,Aravis,0,,,1,1,0,0,0,1,"cross-country (ski, snowboard etc.)",0,2018,12
2010-12-28,13:45,hohneck,other,other,1244,35-39,NE,5,1,0,0,1,0,alpinisme,13,2010,12
2018-12-18,,aravis,alps,Aravis,0,,,1,1,1,0,0,1,"cross-country (ski, snowboard etc.)",0,2018,12
2019-01-26,,aravis,alps,Aravis,0,,,1,1,0,0,0,1,"cross-country (ski, snowboard etc.)",0,2019,1
2019-01-31,,aravis,alps,Aravis,0,,,2,2,0,0,1,1,"off-piste (ski, snowboard)",0,2019,1
2019-11-24,,aravis,alps,Aravis,0,,,1,1,0,0,1,0,"cross-country (ski, snowboard etc.)",0,2019,11
2019-12-06,,aravis,alps,Aravis,0,,,1,1,0,0,0,1,"cross-country (ski, snowboard etc.)",0,2019,12
2011-02-18,,couserans,pyrenees,couseran,2000,30-34,N,2,1,1,0,0,1,hiking,0,2011,2
2019-12-31,,aravis,alps,Aravis,0,,,1,1,0,0,1,0,"cross-country (ski, snowboard etc.)",0,2019,12
2020-03-03,,aravis,alps,Aravis,0,,,2,2,0,0,0,2,"off-piste (ski, snowboard)",0,2020,3
2011-02-22,,luchonnais,pyrenees,luchonnais,2250,35-39,SE,2,2,2,2,0,0,hiking,0,2011,2
2012-02-18,11:05,bauges,alps,Bauges,1980,30-34,SO,2,1,0,0,0,1,hiking,11,2012,2
2012-02-27,,bauges,alps,Bauges,0,,,1,1,1,1,0,0,hiking,0,2012,2
2015-01-29,,bauges,alps,Bauges,0,,,1,1,1,1,0,0,hiking,0,2015,1
2017-12-09,,bauges,alps,Bauges,0,,,3,3,1,1,0,1,hiking,0,2017,12
2018-03-05,16:30,bauges,alps,Bauges,2060,35-39,NO,1,1,0,0,0,1,hiking,16,2018,3
2018-03-24,,bauges,alps,Bauges,0,,,1,1,0,0,0,1,hiking,0,2018,3
2019-01-25,,bauges,alps,Bauges,0,,,1,1,0,0,0,1,"cross-country (ski, snowboard etc.)",0,2019,1
2011-03-05,12:50,capcir puymorens,pyrenees,capcir,2300,35-39,NO,2,1,1,0,1,0,"off-piste (ski, snowboard)",12,2011,3
2019-03-10,,bauges,alps,Bauges,0,,,5,5,0,0,0,5,"cross-country (ski, snowboard etc.)",0,2019,3
2011-03-06,13:30,haute bigorre,pyrenees,hte-bigo,2000,,,3,3,1,0,1,2,hiking,13,2011,3
2013-04-01,13:30,beaufortain,alps,Beaufortin,2400,35-39,N,3,2,0,0,0,2,hiking,13,2013,4
2014-01-05,14:00,beaufortain,alps,Beaufortin,2300,,,4,2,0,0,0,0,hiking,14,2014,1
2014-02-12,14:50,beaufortin,alps,Beaufortin,2340,30-34,SO,2,1,1,1,0,0,hiking,14,2014,2
2015-02-02,16:55,beaufortain,alps,Beaufortin,2150,30-34,NO,2,1,0,0,0,1,"off-piste (ski, snowboard)",16,2015,2
2016-01-21,13:55,beaufortain,alps,Beaufortin,2440,,,1,1,0,0,0,0,hiking,13,2016,1
2017-04-30,12:05,beaufortain,alps,Beaufortin,0,,,1,1,0,0,0,1,hiking,12,2017,4
2017-12-15,14:10,beaufortain,alps,Beaufortin,2410,40-44,E,2,1,1,1,0,0,hiking,14,2017,12
2018-02-24,,beaufortain,alps,Beaufortin,0,,NO,3,3,0,0,0,0,hiking,0,2018,2
2018-03-03,13:35,beaufortain,alps,Beaufortin,2000,30-34,N,2,2,1,0,1,1,hiking,13,2018,3
2018-03-03,16:30,beaufortain,alps,Beaufortin,1550,35-39,NE,2,1,1,1,0,0,"off-piste (ski, snowboard)",16,2018,3
2018-03-04,,beaufortain,alps,Beaufortin,0,,,4,1,0,0,0,1,"off-piste (ski, snowboard)",0,2018,3
2018-03-04,13:15,beaufortain,alps,Beaufortin,0,,,2,2,2,2,0,0,"off-piste (ski, snowboard)",13,2018,3
2019-01-14,,beaufortin,alps,Beaufortin,0,,,1,1,1,1,0,0,"off-piste (ski, snowboard)",0,2019,1
2012-03-23,12:10,belledonne,alps,Belledone,2200,35-39,N,2,1,1,0,1,0,hiking,12,2012,3
2013-01-12,11:30,belledonne,alps,Belledone,0,35-39,O,1,1,0,0,0,1,hiking,11,2013,1
2013-03-19,11:45,belledonne,alps,Belledone,1850,,,1,1,1,0,1,0,"off-piste (ski, snowboard)",11,2013,3
2011-05-08,10:00,haute bigorre,pyrenees,hte-bigo,2280,>45,NO,2,1,1,1,0,0,hiking,10,2011,5
