country,massif_name,day_of_event
France,Belledonne,2019-05-07
France,Mont-Blanc,2010-12-18
France,Mont-Blanc,2012-01-23
France,Mont-Blanc,2014-01-18
France,Mont-Blanc,2015-03-06
France,Mont-Blanc,2015-03-06
France,Mont-Blanc,2015-04-09
France,Mont-Blanc,2016-02-02
France,Mont-Blanc,2017-12-20
France,Mont-Blanc,2018-04-02
France,Mont-Blanc,2019-01-15
France,Mont-Blanc,2019-01-17
France,Aravis,2010-11-28
France,Aravis,2010-12-01
France,Aravis,2010-12-04
France,Aravis,2011-03-02
France,Aravis,2011-03-03
France,Aravis,2011-03-08
France,Aravis,2011-03-20
France,Aravis,2012-01-12
France,Aravis,2012-01-25
France,Aravis,2012-02-06
France,Aravis,2012-02-18
France,Aravis,2012-03-23
France,Aravis,2012-12-06
France,Aravis,2012-12-26
France,Aravis,2013-03-04
France,Aravis,2013-12-27
France,Aravis,2014-02-23
France,Aravis,2014-03-15
France,Aravis,2014-04-13
France,Aravis,2015-02-09
France,Aravis,2015-03-02
France,Aravis,2015-03-30
France,Aravis,2015-04-05
France,Aravis,2015-04-06
France,Aravis,2016-01-30
France,Aravis,2016-02-27
France,Aravis,2016-03-06
France,Aravis,2016-03-09
France,Aravis,2016-04-25
France,Aravis,2017-02-06
France,Aravis,2017-02-10
France,Aravis,2017-02-12
France,Aravis,2017-02-12
France,Aravis,2017-02-13
France,Aravis,2017-03-01
France,Aravis,2017-12-11
France,Aravis,2017-12-13
France,Aravis,2017-12-17
France,Aravis,2018-01-02
France,Aravis,2018-01-06
France,Aravis,2018-03-05
France,Aravis,2018-03-30
France,Aravis,2018-03-31
France,Aravis,2018-03-31
France,Aravis,2018-04-01
France,Aravis,2018-04-01
France,Aravis,2018-12-13
France,Aravis,2018-12-18
France,Aravis,2018-12-24
France,Aravis,2019-01-03
France,Aravis,2019-01-15
France,Aravis,2019-01-15
France,Aravis,2019-01-26
France,Aravis,2019-02-01
France,Aravis,2019-03-11
France,Aravis,2019-04-02
France,Aravis,2019-05-06
France,Bauges,2012-02-18
France,Bauges,2012-02-18
France,Bauges,2012-02-18
France,Bauges,2012-02-25
France,Bauges,2017-12-09
France,Bauges,2018-03-24
France,Bauges,2019-02-28
France,Bauges,2019-03-10
France,Beaufortin,2010-12-22
France,Beaufortin,2011-01-14
France,Beaufortin,2012-01-08
France,Beaufortin,2012-01-24
France,Beaufortin,2012-02-16
France,Beaufortin,2012-04-03
France,Beaufortin,2012-12-29
France,Beaufortin,2013-01-07
France,Beaufortin,2013-02-13
France,Beaufortin,2013-04-25
France,Beaufortin,2013-05-15
France,Beaufortin,2013-12-27
France,Beaufortin,2014-01-02
France,Beaufortin,2014-01-05
France,Beaufortin,2014-01-25
France,Beaufortin,2014-02-12
France,Beaufortin,2014-03-19
France,Beaufortin,2015-02-06
France,Beaufortin,2015-04-17
France,Beaufortin,2016-01-01
